epsilon,certificate,pgd,aa,lirpa_alphacrown,lirpa_betacrown,sdp,time_cra,time_pgd,time_aa,time_lirpa_alpha,time_lirpa_beta,time_sdp
0.005,76.5,0,78.5,78.5,78.5,0,0.0,0,0.055,0.214,0.291,0
0.005,76.5,0,78.5,78.5,78.5,0,0.0,0,0.052,0.21,0.294,0
0.007,76.0,0,78.5,78.0,78.0,0,0.0,0,0.054,0.239,0.293,0
0.009,74.0,0,77.0,77.0,77.0,0,0.0,0,0.053,0.294,0.284,0
0.011,73.5,0,77.0,77.0,77.0,0,0.0,0,0.053,0.317,0.288,0
0.013,72.5,0,76.5,76.5,76.5,0,0.0,0,0.052,0.34,0.279,0
0.015,70.0,0,76.5,76.5,76.5,0,0.0,0,0.054,0.347,0.291,0
0.017,68.5,0,76.5,76.5,76.5,0,0.0,0,0.055,0.348,0.285,0
0.019,67.5,0,76.5,76.0,76.5,0,0.0,0,0.054,0.348,0.3,0
0.021,66.5,0,76.0,76.0,76.0,0,0.0,0,0.053,0.348,0.286,0
0.023,65.5,0,76.0,76.0,76.0,0,0.0,0,0.054,0.345,0.281,0
0.025,62.0,0,76.0,75.0,76.0,0,0.0,0,0.053,0.352,0.312,0
0.027,59.0,0,75.0,74.5,75.0,0,0.0,0,0.053,0.347,0.297,0
0.029,56.00000000000001,0,74.5,74.0,74.5,0,0.0,0,0.054,0.355,0.305,0
0.031,54.50000000000001,0,74.0,73.5,74.0,0,0.0,0,0.056,0.348,0.292,0
0.033,53.0,0,74.0,73.0,74.0,0,0.0,0,0.054,0.343,0.305,0
0.035,50.5,0,73.5,72.0,73.5,0,0.0,0,0.053,0.345,0.318,0
0.037,47.5,0,73.5,71.0,73.5,0,0.0,0,0.053,0.34,0.362,0
0.039,46.5,0,73.0,70.5,73.0,0,0.0,0,0.056,0.345,0.375,0
0.041,46.0,0,73.0,69.5,73.0,0,0.0,0,0.052,0.336,0.435,0
0.043,44.0,0,73.0,68.5,73.0,0,0.0,0,0.054,0.343,0.513,0
0.045,43.0,0,72.5,67.5,72.5,0,0.0,0,0.052,0.337,0.558,0
0.047,41.0,0,72.0,66.0,71.5,0,0.0,0,0.053,0.339,0.487,0
0.049,40.5,0,71.5,66.0,71.5,0,0.0,0,0.052,0.339,0.56,0
0.051,37.5,0,71.0,65.5,70.5,0,0.0,0,0.056,0.343,0.685,0
0.053,36.0,0,70.0,64.0,70.0,0,0.0,0,0.053,0.339,0.755,0
0.055,34.0,0,69.5,62.5,69.5,0,0.0,0,0.053,0.344,0.815,0
0.057,32.5,0,69.0,61.0,69.0,0,0.0,0,0.054,0.338,0.98,0
0.059,30.5,0,69.0,59.5,69.0,0,0.0,0,0.054,0.34,1.236,0
0.061,28.999999999999996,0,69.0,57.99999999999999,69.0,0,0.0,0,0.054,0.34,1.521,0
0.063,28.000000000000004,0,68.5,55.50000000000001,68.0,0,0.0,0,0.054,0.343,1.077,0
0.065,26.5,0,67.5,54.50000000000001,67.5,0,0.0,0,0.053,0.342,1.08,0
0.067,26.5,0,67.5,51.0,67.5,0,0.0,0,0.053,0.339,1.394,0
0.069,24.0,0,67.5,50.0,67.5,0,0.0,0,0.052,0.339,1.662,0
0.071,24.0,0,67.5,47.0,67.5,0,0.0,0,0.052,0.339,2.156,0
0.073,22.0,0,67.5,45.0,67.0,0,0.0,0,0.053,0.339,2.564,0
0.075,21.0,0,67.0,44.5,66.0,0,0.0,0,0.053,0.342,3.179,0
0.077,19.5,0,67.0,44.0,66.0,0,0.0,0,0.054,0.336,3.27,0
0.079,18.5,0,65.0,43.0,64.5,0,0.0,0,0.053,0.339,2.712,0
0.081,17.5,0,64.5,42.0,64.0,0,0.0,0,0.053,0.341,3.299,0
0.083,17.0,0,63.0,38.5,63.0,0,0.0,0,0.052,0.336,3.722,0
0.085,15.0,0,62.0,37.0,62.0,0,0.0,0,0.054,0.342,4.197,0
0.087,13.0,0,61.5,36.0,61.5,0,0.0,0,0.054,0.343,4.586,0
0.089,11.5,0,61.0,34.0,60.5,0,0.0,0,0.053,0.34,5.285,0
0.091,11.5,0,60.5,32.5,59.0,0,0.0,0,0.054,0.342,6.08,0
0.093,11.0,0,60.5,31.0,57.99999999999999,0,0.0,0,0.053,0.342,6.881,0
0.095,10.5,0,59.0,30.5,57.49999999999999,0,0.0,0,0.054,0.339,6.448,0
0.097,10.5,0,59.0,29.5,57.49999999999999,0,0.0,0,0.051,0.336,6.236,0
0.099,8.5,0,57.49999999999999,28.000000000000004,56.00000000000001,0,0.0,0,0.055,0.339,7.321,0
0.101,7.5,0,56.99999999999999,26.5,56.00000000000001,0,0.0,0,0.054,0.34,7.958,0
0.103,5.5,0,56.99999999999999,23.5,55.50000000000001,0,0.0,0,0.052,0.339,9.482,0
0.105,5.5,0,56.00000000000001,20.5,54.0,0,0.0,0,0.053,0.341,10.404,0
0.105,5.5,0,56.00000000000001,20.5,54.0,0,0.0,0,0.052,0.336,10.373,0
0.107,4.5,0,55.00000000000001,19.5,53.0,0,0.0,0,0.053,0.341,10.651,0
0.109,3.0,0,54.0,18.0,51.0,0,0.0,0,0.055,0.339,11.425,0
0.111,1.5,0,54.0,14.499999999999998,50.5,0,0.0,0,0.052,0.337,11.939,0
0.113,1.5,0,53.5,12.0,49.0,0,0.0,0,0.053,0.34,12.514,0
0.115,1.0,0,53.0,7.5,47.5,0,0.0,0,0.053,0.34,13.874,0
0.117,0.5,0,52.5,5.5,45.5,0,0.0,0,0.054,0.342,15.08,0
