epsilon,certificate,pgd,aa,lirpa_alphacrown,lirpa_betacrown,sdp,time_cra,time_pgd,time_aa,time_lirpa_alpha,time_lirpa_beta,time_sdp
0.0,78.5,0,78.5,78.5,0,78.5,0.0,0,0.117,0.048,0,3.111
0.05,78.5,0,78.5,78.5,0,78.5,0.0,0,0.115,0.184,0,4.03
0.05,78.5,0,78.5,78.5,0,78.5,0.0,0,0.122,0.189,0,4.125
0.05,78.5,0,78.5,78.5,0,78.5,0.0,0,0.114,0.183,0,4.033
0.07,78.0,0,78.5,78.0,0,78.0,0.0,0,0.121,0.195,0,3.456
0.07,78.0,0,78.5,78.0,0,78.0,0.0,0,0.119,0.194,0,3.448
0.09,77.5,0,78.0,77.5,0,77.5,0.0,0,0.117,0.216,0,3.273
0.11,77.0,0,77.0,77.0,0,77.0,0.0,0,0.123,0.236,0,3.281
0.13,77.0,0,77.0,77.0,0,77.0,0.0,0,0.119,0.277,0,3.093
0.15,77.0,0,77.0,76.5,0,76.5,0.0,0,0.122,0.29,0,3.121
0.17,76.5,0,76.5,76.5,0,76.5,0.0,0,0.117,0.269,0,3.326
0.19,76.5,0,76.5,76.5,0,76.5,0.0,0,0.114,0.293,0,3.223
0.2,76.5,0,76.5,76.0,0,76.0,0.0,0,0.121,0.308,0,3.411
0.21,76.5,0,76.5,76.0,0,76.0,0.0,0,0.114,0.317,0,3.246
0.23,76.0,0,76.0,76.0,0,76.0,0.0,0,0.115,0.317,0,3.13
0.25,76.0,0,76.0,75.0,0,76.0,0.0,0,0.116,0.329,0,3.235
0.27,76.0,0,76.0,74.5,0,75.0,0.0,0,0.117,0.319,0,3.583
0.29,75.0,0,76.0,74.0,0,74.5,0.0,0,0.115,0.325,0,3.63
0.31,74.5,0,76.0,74.0,0,74.0,0.0,0,0.119,0.341,0,3.746
0.33,74.0,0,75.5,73.5,0,74.0,0.0,0,0.122,0.337,0,3.994
0.35,74.0,0,74.0,73.5,0,73.5,0.0,0,0.12,0.332,0,3.733
0.37,74.0,0,74.0,72.0,0,73.5,0.0,0,0.117,0.342,0,4.081
0.39,73.5,0,74.0,71.5,0,73.5,0.0,0,0.119,0.336,0,4.144
0.41,73.5,0,74.0,70.0,0,73.5,0.0,0,0.116,0.34,0,4.239
0.41,73.5,0,74.0,70.0,0,73.5,0.0,0,0.12,0.342,0,4.283
0.43,73.5,0,73.5,69.5,0,73.0,0.0,0,0.116,0.339,0,4.092
0.45,73.0,0,73.5,69.0,0,71.5,0.0,0,0.118,0.339,0,4.136
0.47,73.0,0,73.5,67.5,0,71.5,0.0,0,0.116,0.339,0,4.278
0.49,73.0,0,73.5,66.5,0,71.0,0.0,0,0.118,0.34,0,4.446
0.51,72.5,0,73.0,65.5,0,70.5,0.0,0,0.116,0.336,0,4.336
0.53,71.5,0,73.0,65.5,0,70.0,0.0,0,0.115,0.338,0,4.617
0.55,71.0,0,73.0,65.5,0,69.5,0.0,0,0.119,0.339,0,4.582
0.57,71.0,0,73.0,62.5,0,69.5,0.0,0,0.113,0.334,0,4.495
0.59,70.0,0,72.5,60.5,0,68.5,0.0,0,0.119,0.339,0,4.378
0.61,69.5,0,72.0,59.0,0,68.0,0.0,0,0.115,0.335,0,4.311
0.61,69.5,0,72.0,59.0,0,68.0,0.0,0,0.117,0.34,0,4.378
0.63,69.5,0,72.0,59.0,0,68.0,0.0,0,0.118,0.341,0,4.555
0.65,69.0,0,70.5,57.49999999999999,0,68.0,0.0,0,0.121,0.342,0,4.45
0.67,68.5,0,70.0,55.00000000000001,0,67.5,0.0,0,0.117,0.337,0,4.469
0.69,68.5,0,70.0,52.5,0,67.5,0.0,0,0.12,0.341,0,4.497
0.71,68.5,0,70.0,50.5,0,67.5,0.0,0,0.118,0.335,0,4.5
0.73,68.0,0,70.0,48.5,0,67.5,0.0,0,0.12,0.343,0,4.363
0.75,68.0,0,68.5,47.0,0,66.0,0.0,0,0.122,0.339,0,4.387
0.77,67.5,0,68.0,44.5,0,66.0,0.0,0,0.116,0.336,0,4.38
0.79,67.5,0,68.0,44.0,0,66.0,0.0,0,0.12,0.346,0,4.437
0.81,67.5,0,67.5,43.5,0,64.5,0.0,0,0.121,0.338,0,4.341
0.81,67.5,0,67.5,43.5,0,64.5,0.0,0,0.119,0.336,0,4.328
0.83,66.5,0,67.5,42.5,0,63.5,0.0,0,0.122,0.344,0,4.319
0.85,66.5,0,67.5,40.5,0,62.0,0.0,0,0.115,0.338,0,4.184
0.87,66.0,0,67.5,40.0,0,61.5,0.0,0,0.118,0.342,0,4.264
0.89,65.5,0,67.5,37.5,0,61.5,0.0,0,0.116,0.337,0,4.142
0.91,65.5,0,67.0,35.0,0,61.0,0.0,0,0.121,0.337,0,4.073
0.93,64.0,0,67.0,33.5,0,60.0,0.0,0,0.115,0.338,0,4.106
0.95,63.5,0,66.0,32.5,0,58.5,0.0,0,0.116,0.342,0,4.121
0.97,63.0,0,66.0,32.0,0,57.49999999999999,0.0,0,0.118,0.339,0,4.035
0.99,62.0,0,65.5,28.999999999999996,0,56.99999999999999,0.0,0,0.114,0.335,0,4.066
1.0,61.5,0,65.0,28.499999999999996,0,56.49999999999999,0.0,0,0.12,0.335,0,3.851
1.01,61.0,0,65.0,28.000000000000004,0,56.49999999999999,0.0,0,0.119,0.34,0,4.026
1.03,61.0,0,64.5,26.0,0,56.00000000000001,0.0,0,0.117,0.34,0,3.961
1.05,61.0,0,64.0,24.0,0,55.50000000000001,0.0,0,0.123,0.349,0,4.027
1.07,59.0,0,63.5,21.0,0,54.50000000000001,0.0,0,0.114,0.337,0,3.939
1.09,57.99999999999999,0,62.5,17.5,0,54.50000000000001,0.0,0,0.117,0.338,0,3.842
1.11,57.49999999999999,0,62.5,15.0,0,54.50000000000001,0.0,0,0.114,0.343,0,3.863
1.13,56.99999999999999,0,61.5,14.000000000000002,0,54.0,0.0,0,0.116,0.339,0,3.828
1.15,56.00000000000001,0,61.5,11.5,0,53.5,0.0,0,0.117,0.335,0,3.737
1.17,55.50000000000001,0,61.0,9.5,0,52.5,0.0,0,0.115,0.336,0,3.739
1.19,55.00000000000001,0,60.5,8.5,0,51.0,0.0,0,0.124,0.337,0,3.683
1.21,55.00000000000001,0,59.0,8.0,0,49.5,0.0,0,0.118,0.337,0,3.63
1.21,55.00000000000001,0,59.0,8.0,0,49.5,0.0,0,0.12,0.339,0,3.647
1.23,54.50000000000001,0,58.5,6.5,0,49.0,0.0,0,0.119,0.336,0,3.658
1.25,54.50000000000001,0,56.99999999999999,5.0,0,49.0,0.0,0,0.115,0.336,0,3.586
1.27,54.50000000000001,0,56.49999999999999,3.0,0,48.0,0.0,0,0.122,0.341,0,3.679
1.29,54.50000000000001,0,55.50000000000001,3.0,0,48.0,0.0,0,0.118,0.334,0,3.544
1.31,52.5,0,55.50000000000001,2.5,0,47.0,0.0,0,0.121,0.341,0,3.387
1.33,52.5,0,55.50000000000001,2.5,0,46.5,0.0,0,0.116,0.335,0,3.509
1.35,51.0,0,55.00000000000001,2.0,0,46.0,0.0,0,0.115,0.337,0,3.427
1.37,50.5,0,55.00000000000001,2.0,0,46.0,0.0,0,0.12,0.336,0,3.434
1.39,50.5,0,55.00000000000001,1.0,0,46.0,0.0,0,0.115,0.337,0,3.419
1.4,50.5,0,54.50000000000001,1.0,0,46.0,0.0,0,0.117,0.343,0,3.465
1.41,50.0,0,54.0,1.0,0,46.0,0.0,0,0.119,0.335,0,3.361
1.43,48.0,0,54.0,1.0,0,46.0,0.0,0,0.119,0.334,0,3.231
