epsilon,certificate,pgd,aa,lirpa_alphacrown,lirpa_betacrown,sdp,time_cra,time_pgd,time_aa,time_lirpa_alpha,time_lirpa_beta,time_sdp
0.0,99.0,0,99.0,99.0,0,98.5,0.0,0,0.104,0.114,0,5.079
0.2,76.0,0,96.0,0.0,0,88.5,0.0,0,0.108,2.777,0,5.527
0.41,18.0,0,88.0,0.0,0,34.5,0.0,0,0.108,2.782,0,10.145
0.61,1.0,0,66.0,0.0,0,4.5,0.0,0,0.102,2.772,0,10.028
0.81,0.0,0,45.5,0.0,0,0.5,0.0,0,0.103,2.775,0,9.37
1.0,0.0,0,23.5,0.0,0,0.0,0.0,0,0.103,2.772,0,8.336
1.21,0.0,0,12.0,0.0,0,0.0,0.0,0,0.109,2.777,0,7.78
1.4,0.0,0,4.0,0.0,0,0.0,0.0,0,0.107,2.772,0,6.992
1.61,0.0,0,1.0,0.0,0,0.0,0.0,0,0.103,2.782,0,6.444
1.81,0.0,0,0.5,0.0,0,0.0,0.0,0,0.101,2.812,0,5.783
