epsilon,certificate,pgd,aa,lirpa_alphacrown,lirpa_betacrown,sdp,time_cra,time_pgd,time_aa,time_lirpa_alpha,time_lirpa_beta,time_sdp
0.0,83.0,0,83.0,83.0,0,83.0,0.0,0,0.112,0.052,0,3.064
0.05,82.5,0,82.5,82.5,0,82.5,0.0,0,0.112,0.19,0,4.257
0.07,82.5,0,82.5,82.5,0,82.5,0.0,0,0.113,0.249,0,3.791
0.09,82.0,0,82.5,82.0,0,82.0,0.0,0,0.109,0.249,0,3.586
0.11,82.0,0,82.0,81.5,0,82.0,0.0,0,0.114,0.283,0,3.887
0.13,81.5,0,82.0,80.0,0,81.0,0.0,0,0.108,0.301,0,3.777
0.15,80.5,0,81.0,79.5,0,79.5,0.0,0,0.111,0.3,0,3.858
0.17,79.5,0,80.0,79.5,0,79.5,0.0,0,0.111,0.327,0,3.779
0.19,78.5,0,80.0,78.0,0,78.5,0.0,0,0.113,0.352,0,3.584
0.2,78.5,0,79.5,78.0,0,78.0,0.0,0,0.109,0.335,0,3.585
0.21,78.5,0,79.5,78.0,0,77.5,0.0,0,0.115,0.348,0,3.678
0.23,77.5,0,77.5,76.5,0,77.0,0.0,0,0.108,0.341,0,3.724
0.25,77.0,0,77.5,75.5,0,76.0,0.0,0,0.112,0.373,0,4.006
0.27,76.0,0,77.0,74.5,0,74.5,0.0,0,0.114,0.364,0,4.032
0.29,75.5,0,76.5,74.5,0,74.5,0.0,0,0.115,0.361,0,4.079
0.31,74.5,0,76.0,74.0,0,74.0,0.0,0,0.107,0.368,0,4.27
0.33,74.5,0,74.5,73.5,0,74.5,0.0,0,0.114,0.362,0,4.13
0.35,74.5,0,74.5,73.0,0,74.5,0.0,0,0.112,0.367,0,4.24
0.37,74.5,0,74.5,73.0,0,74.0,0.0,0,0.112,0.371,0,4.412
0.39,74.5,0,74.5,71.5,0,74.0,0.0,0,0.112,0.367,0,4.346
0.41,74.0,0,74.5,71.0,0,73.0,0.0,0,0.108,0.367,0,4.577
0.41,74.0,0,74.5,71.0,0,73.0,0.0,0,0.113,0.372,0,4.629
0.43,73.5,0,74.0,71.0,0,72.5,0.0,0,0.113,0.376,0,4.379
0.45,73.0,0,74.0,70.0,0,72.5,0.0,0,0.112,0.383,0,4.485
0.47,72.5,0,73.5,69.0,0,72.0,0.0,0,0.114,0.377,0,4.439
0.49,72.5,0,73.5,68.0,0,71.5,0.0,0,0.113,0.376,0,4.608
0.51,72.0,0,73.0,67.5,0,71.5,0.0,0,0.111,0.384,0,4.54
0.53,72.0,0,72.5,67.0,0,71.5,0.0,0,0.111,0.384,0,4.564
0.55,72.0,0,72.5,65.5,0,71.0,0.0,0,0.111,0.364,0,4.517
0.57,71.5,0,72.0,65.0,0,70.5,0.0,0,0.109,0.385,0,4.704
0.59,71.5,0,72.0,64.0,0,70.5,0.0,0,0.113,0.38,0,4.482
0.61,71.0,0,72.0,62.5,0,70.0,0.0,0,0.108,0.375,0,4.557
0.61,71.0,0,72.0,62.5,0,70.0,0.0,0,0.109,0.376,0,4.6
0.63,71.0,0,72.0,60.5,0,69.5,0.0,0,0.11,0.377,0,4.577
0.65,71.0,0,71.5,58.5,0,69.5,0.0,0,0.113,0.383,0,4.539
0.67,71.0,0,71.5,56.99999999999999,0,69.0,0.0,0,0.114,0.376,0,4.475
0.69,70.5,0,71.5,55.00000000000001,0,67.5,0.0,0,0.112,0.38,0,4.438
0.71,70.5,0,71.0,53.0,0,67.5,0.0,0,0.11,0.371,0,4.51
0.73,70.0,0,71.0,52.0,0,67.5,0.0,0,0.113,0.376,0,4.467
0.75,69.0,0,71.0,49.5,0,67.0,0.0,0,0.111,0.383,0,4.594
0.77,69.0,0,71.0,47.0,0,66.5,0.0,0,0.116,0.371,0,4.438
0.79,68.5,0,70.5,46.5,0,65.5,0.0,0,0.109,0.381,0,4.429
0.81,68.0,0,70.0,45.0,0,65.0,0.0,0,0.108,0.38,0,4.399
0.81,68.0,0,70.0,45.0,0,65.0,0.0,0,0.117,0.387,0,4.513
0.83,67.0,0,69.5,43.0,0,65.0,0.0,0,0.112,0.383,0,4.449
0.85,67.0,0,68.5,42.0,0,64.5,0.0,0,0.114,0.379,0,4.414
0.87,66.0,0,68.5,40.0,0,64.0,0.0,0,0.111,0.384,0,4.404
0.89,66.0,0,68.5,39.0,0,63.5,0.0,0,0.11,0.381,0,4.379
0.91,66.0,0,68.5,38.5,0,63.5,0.0,0,0.115,0.381,0,4.263
0.93,65.5,0,67.5,36.0,0,62.0,0.0,0,0.108,0.378,0,4.258
0.95,65.0,0,67.0,33.5,0,61.0,0.0,0,0.108,0.385,0,4.122
0.97,64.0,0,66.0,31.5,0,61.0,0.0,0,0.111,0.38,0,4.199
0.99,63.5,0,66.0,30.0,0,60.0,0.0,0,0.112,0.383,0,4.035
1.0,63.5,0,66.0,28.000000000000004,0,59.5,0.0,0,0.108,0.377,0,4.051
1.01,63.0,0,66.0,27.0,0,59.5,0.0,0,0.113,0.381,0,4.229
1.03,63.0,0,66.0,26.5,0,59.0,0.0,0,0.113,0.381,0,3.964
1.05,62.5,0,65.5,23.0,0,58.5,0.0,0,0.113,0.386,0,4.068
1.07,62.5,0,64.5,19.5,0,56.99999999999999,0.0,0,0.113,0.377,0,3.982
1.09,61.5,0,64.5,13.5,0,55.50000000000001,0.0,0,0.113,0.385,0,4.044
1.11,61.0,0,64.0,11.0,0,54.0,0.0,0,0.11,0.381,0,4.077
1.13,60.0,0,63.5,10.0,0,53.5,0.0,0,0.114,0.383,0,3.872
1.15,59.5,0,63.5,9.0,0,52.5,0.0,0,0.109,0.373,0,3.84
1.17,59.0,0,63.5,8.0,0,52.0,0.0,0,0.113,0.385,0,3.813
1.19,57.99999999999999,0,63.5,7.5,0,52.0,0.0,0,0.114,0.384,0,3.858
1.21,56.00000000000001,0,62.5,6.0,0,52.0,0.0,0,0.113,0.377,0,3.836
1.21,56.00000000000001,0,62.5,6.0,0,52.0,0.0,0,0.11,0.384,0,3.865
1.23,55.50000000000001,0,60.5,5.0,0,51.0,0.0,0,0.109,0.38,0,3.832
1.25,55.00000000000001,0,60.0,5.0,0,50.5,0.0,0,0.111,0.382,0,3.781
1.27,54.0,0,59.5,4.5,0,50.0,0.0,0,0.106,0.373,0,3.63
1.29,53.5,0,58.5,3.5000000000000004,0,49.0,0.0,0,0.112,0.382,0,3.705
1.31,53.0,0,57.99999999999999,2.5,0,48.0,0.0,0,0.112,0.384,0,3.665
1.33,52.5,0,56.00000000000001,2.0,0,47.5,0.0,0,0.111,0.382,0,3.69
1.35,52.5,0,55.50000000000001,2.0,0,47.5,0.0,0,0.11,0.381,0,3.766
1.37,52.0,0,54.50000000000001,1.5,0,46.5,0.0,0,0.109,0.383,0,3.597
1.39,52.0,0,54.50000000000001,1.0,0,46.0,0.0,0,0.108,0.377,0,3.612
1.4,51.0,0,54.0,1.0,0,45.5,0.0,0,0.113,0.379,0,3.7
1.41,51.0,0,53.5,0.5,0,45.5,0.0,0,0.111,0.38,0,3.702
1.43,50.0,0,53.5,0.5,0,45.0,0.0,0,0.111,0.388,0,3.635
1.45,50.0,0,53.5,0.5,0,44.5,0.0,0,0.114,0.383,0,3.669
1.47,50.0,0,52.5,0.0,0,43.5,0.0,0,0.112,0.385,0,3.635
1.49,49.0,0,52.5,0.0,0,43.5,0.0,0,0.114,0.378,0,3.548
1.51,48.5,0,52.0,0.0,0,43.0,0.0,0,0.11,0.38,0,3.616
1.53,48.0,0,52.0,0.0,0,43.0,0.0,0,0.112,0.381,0,3.429
1.55,47.5,0,51.5,0.0,0,42.5,0.0,0,0.113,0.382,0,3.466
1.57,46.5,0,50.5,0.0,0,41.5,0.0,0,0.108,0.38,0,3.457
1.59,45.5,0,50.0,0.0,0,41.5,0.0,0,0.109,0.375,0,3.261
1.61,45.0,0,49.5,0.0,0,41.5,0.0,0,0.108,0.377,0,3.383
1.61,45.0,0,49.5,0.0,0,41.5,0.0,0,0.115,0.38,0,3.418
1.63,44.0,0,49.0,0.0,0,41.5,0.0,0,0.109,0.375,0,3.399
1.65,43.5,0,48.0,0.0,0,41.5,0.0,0,0.113,0.385,0,3.224
1.67,43.5,0,47.5,0.0,0,40.5,0.0,0,0.114,0.384,0,3.455
1.69,43.0,0,47.5,0.0,0,39.5,0.0,0,0.111,0.379,0,3.334
1.71,43.0,0,46.5,0.0,0,39.0,0.0,0,0.11,0.381,0,3.395
1.73,43.0,0,46.0,0.0,0,38.5,0.0,0,0.111,0.379,0,3.347
1.75,43.0,0,45.5,0.0,0,38.5,0.0,0,0.107,0.377,0,3.352
1.77,43.0,0,45.5,0.0,0,37.5,0.0,0,0.112,0.384,0,3.211
1.79,42.5,0,45.0,0.0,0,37.5,0.0,0,0.116,0.383,0,3.261
1.81,42.5,0,44.0,0.0,0,37.0,0.0,0,0.108,0.378,0,3.192
1.81,42.5,0,44.0,0.0,0,37.0,0.0,0,0.108,0.379,0,3.203
1.83,42.0,0,44.0,0.0,0,36.5,0.0,0,0.11,0.38,0,3.219
