epsilon,certificate,pgd,aa,lirpa_alphacrown,lirpa_betacrown,sdp,time_cra,time_pgd,time_aa,time_lirpa_alpha,time_lirpa_beta,time_sdp
0.0,81.5,0,81.5,81.5,0,81.5,0.0,0,0.107,0.022,0,1.196
0.05,80.5,0,80.5,80.5,0,80.5,0.0,0,0.105,0.072,0,2.038
0.07,80.0,0,80.5,80.0,0,80.0,0.0,0,0.108,0.087,0,1.866
0.09,79.0,0,79.5,79.0,0,79.0,0.0,0,0.107,0.096,0,1.747
0.11,78.5,0,78.5,78.5,0,78.5,0.0,0,0.106,0.098,0,1.588
0.13,78.0,0,78.5,78.0,0,78.0,0.0,0,0.103,0.107,0,1.561
0.15,78.0,0,78.0,78.0,0,78.0,0.0,0,0.101,0.114,0,1.456
0.17,78.0,0,78.0,78.0,0,78.0,0.0,0,0.104,0.119,0,1.422
0.19,77.5,0,78.0,77.0,0,77.5,0.0,0,0.103,0.114,0,1.482
0.2,77.5,0,78.0,76.5,0,77.0,0.0,0,0.103,0.132,0,1.429
0.21,77.0,0,77.5,76.5,0,76.5,0.0,0,0.107,0.129,0,1.507
0.23,76.0,0,77.5,76.0,0,75.5,0.0,0,0.104,0.137,0,1.575
0.25,75.0,0,77.0,75.0,0,75.0,0.0,0,0.104,0.126,0,1.69
0.27,75.0,0,75.5,74.0,0,75.0,0.0,0,0.106,0.142,0,1.787
0.29,75.0,0,75.5,74.0,0,74.5,0.0,0,0.101,0.143,0,1.884
0.31,74.5,0,75.0,73.5,0,73.5,0.0,0,0.105,0.148,0,1.855
0.33,73.5,0,75.0,73.0,0,73.5,0.0,0,0.103,0.154,0,1.92
0.35,73.5,0,75.0,72.0,0,73.0,0.0,0,0.105,0.153,0,1.876
0.37,73.5,0,74.0,72.0,0,72.5,0.0,0,0.103,0.148,0,1.823
0.39,73.0,0,74.0,71.5,0,72.0,0.0,0,0.102,0.15,0,1.836
0.41,72.5,0,73.5,70.0,0,71.0,0.0,0,0.102,0.156,0,1.909
0.41,72.5,0,73.5,70.0,0,71.0,0.0,0,0.105,0.157,0,1.887
0.43,71.0,0,73.5,69.0,0,69.5,0.0,0,0.11,0.156,0,1.833
0.45,70.0,0,73.5,67.5,0,69.5,0.0,0,0.103,0.15,0,1.805
0.47,69.5,0,72.5,67.5,0,69.0,0.0,0,0.107,0.155,0,1.974
0.49,69.0,0,72.5,66.5,0,69.0,0.0,0,0.105,0.15,0,1.876
0.51,69.0,0,72.0,66.0,0,68.5,0.0,0,0.108,0.156,0,1.851
0.53,69.0,0,69.5,66.0,0,68.0,0.0,0,0.105,0.154,0,1.894
0.55,68.5,0,69.5,65.0,0,68.0,0.0,0,0.109,0.152,0,1.835
0.57,68.5,0,69.5,64.5,0,67.5,0.0,0,0.104,0.153,0,1.821
0.59,67.5,0,69.5,64.5,0,67.5,0.0,0,0.105,0.156,0,1.881
0.61,67.5,0,69.5,63.5,0,67.0,0.0,0,0.104,0.155,0,1.734
0.61,67.5,0,69.5,63.5,0,67.0,0.0,0,0.105,0.154,0,1.805
0.63,67.5,0,69.0,63.0,0,67.0,0.0,0,0.107,0.156,0,1.753
0.65,67.5,0,68.5,62.0,0,67.0,0.0,0,0.107,0.155,0,1.777
0.67,67.0,0,68.5,61.0,0,66.0,0.0,0,0.106,0.157,0,1.773
0.69,67.0,0,68.0,59.5,0,65.0,0.0,0,0.101,0.155,0,1.803
0.71,66.5,0,68.0,57.49999999999999,0,64.5,0.0,0,0.11,0.159,0,1.773
0.73,65.5,0,67.5,55.00000000000001,0,64.5,0.0,0,0.104,0.159,0,1.723
0.75,65.0,0,67.5,53.0,0,64.5,0.0,0,0.105,0.159,0,1.768
0.77,64.5,0,67.5,51.5,0,64.0,0.0,0,0.107,0.159,0,1.8
0.79,64.5,0,67.5,49.5,0,64.0,0.0,0,0.099,0.155,0,1.647
0.81,64.5,0,67.0,46.5,0,64.0,0.0,0,0.101,0.156,0,1.751
0.81,64.5,0,67.0,46.5,0,64.0,0.0,0,0.104,0.159,0,1.68
0.83,64.5,0,67.0,45.0,0,63.5,0.0,0,0.105,0.157,0,1.567
0.85,64.5,0,67.0,44.0,0,63.0,0.0,0,0.104,0.16,0,1.64
0.87,64.0,0,66.0,42.0,0,62.5,0.0,0,0.103,0.155,0,1.602
0.89,64.0,0,65.5,40.5,0,62.0,0.0,0,0.103,0.156,0,1.614
0.91,63.0,0,64.5,37.5,0,61.0,0.0,0,0.103,0.152,0,1.613
0.93,62.5,0,64.5,36.0,0,61.0,0.0,0,0.106,0.156,0,1.58
0.95,62.5,0,64.5,32.0,0,60.5,0.0,0,0.109,0.155,0,1.631
0.97,61.5,0,64.5,30.0,0,60.5,0.0,0,0.102,0.154,0,1.511
0.99,61.5,0,64.5,28.000000000000004,0,60.0,0.0,0,0.104,0.156,0,1.524
1.0,61.0,0,64.5,26.0,0,60.0,0.0,0,0.103,0.154,0,1.49
1.01,60.5,0,64.5,24.0,0,59.0,0.0,0,0.104,0.151,0,1.509
1.03,60.5,0,64.5,22.5,0,59.0,0.0,0,0.105,0.154,0,1.583
1.05,60.0,0,63.5,16.5,0,57.99999999999999,0.0,0,0.105,0.153,0,1.491
1.07,59.5,0,63.0,15.0,0,57.49999999999999,0.0,0,0.102,0.155,0,1.499
1.09,59.5,0,63.0,13.0,0,56.99999999999999,0.0,0,0.103,0.152,0,1.431
1.11,59.0,0,61.5,11.5,0,55.50000000000001,0.0,0,0.105,0.154,0,1.41
1.13,57.49999999999999,0,61.5,10.5,0,55.50000000000001,0.0,0,0.104,0.156,0,1.498
1.15,56.99999999999999,0,61.5,9.0,0,55.00000000000001,0.0,0,0.102,0.15,0,1.378
1.17,56.00000000000001,0,61.5,8.5,0,54.0,0.0,0,0.103,0.153,0,1.403
1.19,55.50000000000001,0,60.5,7.5,0,53.5,0.0,0,0.105,0.155,0,1.378
1.21,54.50000000000001,0,59.5,6.0,0,53.5,0.0,0,0.101,0.151,0,1.33
1.21,54.50000000000001,0,59.5,6.0,0,53.5,0.0,0,0.104,0.152,0,1.332
1.23,54.50000000000001,0,58.5,5.0,0,53.0,0.0,0,0.103,0.151,0,1.333
1.25,54.50000000000001,0,58.5,4.5,0,52.5,0.0,0,0.103,0.154,0,1.373
1.27,53.5,0,58.5,3.5000000000000004,0,52.0,0.0,0,0.101,0.152,0,1.325
1.29,53.0,0,58.5,2.0,0,51.5,0.0,0,0.104,0.154,0,1.332
1.31,52.5,0,57.49999999999999,2.0,0,51.0,0.0,0,0.103,0.153,0,1.32
1.33,52.0,0,57.49999999999999,1.0,0,50.5,0.0,0,0.105,0.153,0,1.343
1.35,52.0,0,56.49999999999999,0.5,0,49.5,0.0,0,0.102,0.152,0,1.362
1.37,52.0,0,56.00000000000001,0.5,0,48.5,0.0,0,0.108,0.155,0,1.352
1.39,51.0,0,55.50000000000001,0.5,0,48.0,0.0,0,0.104,0.151,0,1.386
1.4,50.5,0,55.50000000000001,0.5,0,47.5,0.0,0,0.103,0.152,0,1.421
1.41,50.5,0,55.50000000000001,0.5,0,47.5,0.0,0,0.107,0.154,0,1.408
1.43,49.0,0,55.50000000000001,0.5,0,47.5,0.0,0,0.101,0.153,0,1.413
1.45,48.0,0,54.0,0.0,0,47.5,0.0,0,0.101,0.156,0,1.454
1.47,48.0,0,53.5,0.0,0,47.5,0.0,0,0.103,0.152,0,1.525
1.49,47.5,0,53.5,0.0,0,47.0,0.0,0,0.101,0.155,0,1.588
1.51,47.0,0,53.0,0.0,0,46.5,0.0,0,0.1,0.154,0,1.567
1.53,47.0,0,52.0,0.0,0,46.5,0.0,0,0.107,0.16,0,1.636
1.55,47.0,0,51.5,0.0,0,46.5,0.0,0,0.106,0.152,0,1.673
1.57,45.5,0,51.0,0.0,0,46.5,0.0,0,0.102,0.152,0,1.693
1.59,45.5,0,49.5,0.0,0,46.0,0.0,0,0.107,0.155,0,1.742
1.61,45.0,0,49.0,0.0,0,45.0,0.0,0,0.1,0.149,0,1.726
1.61,45.0,0,49.5,0.0,0,45.0,0.0,0,0.104,0.152,0,1.773
1.63,45.0,0,49.0,0.0,0,44.5,0.0,0,0.105,0.156,0,1.831
1.65,44.0,0,49.0,0.0,0,43.0,0.0,0,0.101,0.153,0,1.799
1.67,44.0,0,48.5,0.0,0,43.0,0.0,0,0.106,0.155,0,1.828
1.69,43.0,0,48.0,0.0,0,42.5,0.0,0,0.1,0.157,0,1.815
1.71,42.0,0,48.0,0.0,0,42.0,0.0,0,0.103,0.154,0,1.886
1.73,40.0,0,47.5,0.0,0,41.5,0.0,0,0.106,0.154,0,1.926
1.75,39.5,0,47.5,0.0,0,41.0,0.0,0,0.104,0.155,0,2.013
1.77,39.5,0,47.5,0.0,0,40.0,0.0,0,0.104,0.157,0,2.024
1.79,39.5,0,47.0,0.0,0,39.5,0.0,0,0.106,0.157,0,2.036
1.81,39.0,0,46.0,0.0,0,39.0,0.0,0,0.107,0.155,0,2.027
1.81,39.0,0,46.0,0.0,0,39.0,0.0,0,0.108,0.156,0,2.057
