epsilon,certificate,pgd,aa,lirpa_alphacrown,lirpa_betacrown,sdp,time_cra,time_pgd,time_aa,time_lirpa_alpha,time_lirpa_beta,time_sdp
0.005,77.5,0,80.5,80.5,80.5,0,0.0,0,0.043,0.097,0.162,0
0.005,77.5,0,80.5,80.5,80.5,0,0.0,0,0.043,0.096,0.158,0
0.009,73.5,0,79.0,79.0,79.0,0,0.0,0,0.042,0.119,0.155,0
0.013,69.0,0,78.0,78.0,78.0,0,0.0,0,0.042,0.136,0.159,0
0.017,67.0,0,78.0,78.0,78.0,0,0.0,0,0.042,0.152,0.157,0
0.021,64.5,0,76.5,75.5,76.5,0,0.0,0,0.043,0.156,0.167,0
0.025,61.5,0,74.5,74.0,74.5,0,0.0,0,0.043,0.162,0.161,0
0.029,56.99999999999999,0,74.0,73.5,74.0,0,0.0,0,0.044,0.162,0.161,0
0.033,53.0,0,73.5,73.0,73.5,0,0.0,0,0.042,0.162,0.156,0
0.037,48.0,0,73.5,71.5,73.5,0,0.0,0,0.042,0.159,0.188,0
0.041,45.0,0,73.0,68.0,73.0,0,0.0,0,0.042,0.158,0.269,0
0.045,39.5,0,70.0,67.0,70.0,0,0.0,0,0.043,0.163,0.228,0
0.049,35.0,0,68.5,66.0,68.5,0,0.0,0,0.042,0.162,0.23,0
0.053,33.5,0,68.5,64.0,68.5,0,0.0,0,0.042,0.162,0.345,0
0.057,28.499999999999996,0,67.5,63.0,67.5,0,0.0,0,0.042,0.167,0.35,0
0.061,25.5,0,67.0,62.0,67.0,0,0.0,0,0.042,0.161,0.447,0
0.065,24.5,0,65.5,57.49999999999999,65.5,0,0.0,0,0.042,0.162,0.382,0
0.069,23.5,0,65.5,54.0,65.5,0,0.0,0,0.044,0.163,0.587,0
0.073,20.0,0,65.0,51.0,65.0,0,0.0,0,0.042,0.161,0.799,0
0.077,18.5,0,64.5,46.0,64.5,0,0.0,0,0.041,0.16,1.463,0
0.081,13.5,0,64.5,43.5,63.5,0,0.0,0,0.043,0.161,2.775,0
0.085,9.5,0,63.5,37.0,63.0,0,0.0,0,0.043,0.159,3.061,0
0.089,7.5,0,62.5,31.5,62.0,0,0.0,0,0.041,0.157,3.504,0
0.093,5.5,0,61.5,26.5,60.0,0,0.0,0,0.044,0.157,5.891,0
0.097,3.5000000000000004,0,60.5,22.0,57.49999999999999,0,0.0,0,0.042,0.156,8.247,0
0.101,2.0,0,58.5,18.0,56.99999999999999,0,0.0,0,0.046,0.16,9.132,0
0.105,0.5,0,57.49999999999999,10.5,52.5,0,0.0,0,0.043,0.158,13.196,0
0.105,0.5,0,57.49999999999999,10.5,53.0,0,0.0,0,0.041,0.154,13.007,0
0.109,0.5,0,55.50000000000001,6.5,49.5,0,0.0,0,0.041,0.155,14.619,0
0.113,0.0,0,54.50000000000001,2.5,46.5,0,0.0,0,0.045,0.158,17.371,0
0.117,0.0,0,52.5,2.0,45.0,0,0.0,0,0.044,0.158,18.461,0
0.121,0.0,0,51.5,1.5,42.5,0,0.0,0,0.042,0.157,21.682,0
0.125,0.0,0,51.0,0.0,38.0,0,0.0,0,0.045,0.159,26.435,0
0.129,0.0,0,49.0,0.0,35.5,0,0.0,0,0.043,0.158,28.326,0
0.133,0.0,0,47.5,0.0,32.0,0,0.0,0,0.043,0.159,31.136,0
0.137,0.0,0,46.5,0.0,27.0,0,0.0,0,0.041,0.155,34.876,0
0.141,0.0,0,46.5,0.0,23.0,0,0.0,0,0.044,0.158,39.371,0
0.145,0.0,0,46.0,0.0,17.0,0,0.0,0,0.042,0.16,43.447,0
0.149,0.0,0,44.5,0.0,13.0,0,0.0,0,0.042,0.154,43.444,0
0.153,0.0,0,43.5,0.0,10.5,0,0.0,0,0.043,0.157,44.687,0
0.157,0.0,0,43.0,0.0,10.0,0,0.0,0,0.043,0.155,45.547,0
0.161,0.0,0,42.0,0.0,7.5,0,0.0,0,0.042,0.156,46.16,0
0.165,0.0,0,40.0,0.0,6.0,0,0.0,0,0.042,0.156,44.345,0
0.169,0.0,0,38.5,0.0,4.5,0,0.0,0,0.042,0.156,43.639,0
0.173,0.0,0,36.5,0.0,3.0,0,0.0,0,0.044,0.158,42.841,0
0.177,0.0,0,35.5,0.0,1.5,0,0.0,0,0.042,0.159,41.483,0
0.181,0.0,0,33.0,0.0,1.0,0,0.0,0,0.042,0.163,39.465,0
0.185,0.0,0,32.5,0.0,0.0,0,0.0,0,0.042,0.157,39.141,0
0.189,0.0,0,32.5,0.0,0.0,0,0.0,0,0.042,0.159,39.142,0
0.193,0.0,0,32.0,0.0,0.0,0,0.0,0,0.043,0.159,38.542,0
0.197,0.0,0,30.0,0.0,0.0,0,0.0,0,0.044,0.157,35.526,0
0.201,0.0,0,29.5,0.0,0.0,0,0.0,0,0.042,0.157,35.542,0
0.205,0.0,0,28.499999999999996,0.0,0.0,0,0.0,0,0.042,0.158,34.321,0
