epsilon,certificate,pgd,aa,lirpa_alphacrown,lirpa_betacrown,sdp,time_cra,time_pgd,time_aa,time_lirpa_alpha,time_lirpa_beta,time_sdp
0.005,78.5,0,82.5,82.5,82.5,0,0.0,0,0.049,0.247,0.302,0
0.005,78.5,0,82.5,82.5,82.5,0,0.0,0,0.049,0.246,0.3,0
0.009,74.5,0,82.0,81.5,82.0,0,0.0,0,0.049,0.352,0.311,0
0.013,72.0,0,81.0,79.5,81.0,0,0.0,0,0.051,0.357,0.334,0
0.017,71.0,0,79.5,79.0,79.5,0,0.0,0,0.052,0.389,0.308,0
0.021,67.0,0,77.5,77.5,77.5,0,0.0,0,0.049,0.388,0.282,0
0.025,63.5,0,76.5,74.5,76.5,0,0.0,0,0.053,0.388,0.352,0
0.029,59.5,0,74.5,74.0,74.5,0,0.0,0,0.051,0.395,0.291,0
0.033,53.0,0,74.0,72.5,73.5,0,0.0,0,0.051,0.387,0.297,0
0.037,50.0,0,73.0,72.0,73.0,0,0.0,0,0.05,0.385,0.307,0
0.041,44.0,0,72.5,71.0,72.5,0,0.0,0,0.05,0.383,0.335,0
0.045,42.5,0,72.5,70.0,72.5,0,0.0,0,0.053,0.393,0.454,0
0.049,40.0,0,72.0,67.5,71.5,0,0.0,0,0.051,0.383,0.393,0
0.053,37.0,0,71.5,67.0,71.5,0,0.0,0,0.049,0.385,0.45,0
0.057,34.0,0,71.0,63.5,71.0,0,0.0,0,0.05,0.383,0.699,0
0.061,30.0,0,70.0,61.0,70.0,0,0.0,0,0.051,0.382,0.855,0
0.065,27.500000000000004,0,70.0,57.99999999999999,69.5,0,0.0,0,0.05,0.385,1.176,0
0.069,26.5,0,68.0,54.0,68.0,0,0.0,0,0.049,0.38,1.403,0
0.073,21.5,0,67.5,49.0,67.5,0,0.0,0,0.049,0.38,2.084,0
0.077,18.0,0,66.5,45.5,66.0,0,0.0,0,0.049,0.382,2.682,0
0.081,16.0,0,65.5,42.0,65.5,0,0.0,0,0.051,0.386,2.944,0
0.085,14.499999999999998,0,64.5,39.5,64.5,0,0.0,0,0.05,0.38,3.849,0
0.089,11.5,0,63.0,37.5,62.5,0,0.0,0,0.052,0.379,5.558,0
0.093,10.0,0,62.5,34.5,61.0,0,0.0,0,0.052,0.384,6.719,0
0.097,9.0,0,61.5,30.0,59.5,0,0.0,0,0.05,0.383,7.575,0
0.101,6.0,0,59.5,25.5,56.99999999999999,0,0.0,0,0.048,0.376,8.632,0
0.105,5.5,0,58.5,19.5,56.00000000000001,0,0.0,0,0.049,0.383,9.623,0
0.105,5.5,0,58.5,19.5,56.00000000000001,0,0.0,0,0.05,0.382,9.667,0
0.109,2.5,0,56.00000000000001,15.5,52.5,0,0.0,0,0.05,0.384,10.201,0
0.113,1.0,0,55.00000000000001,8.5,50.5,0,0.0,0,0.05,0.384,11.514,0
0.117,0.0,0,52.5,5.5,48.5,0,0.0,0,0.051,0.388,11.968,0
0.121,0.0,0,51.5,3.0,47.0,0,0.0,0,0.05,0.378,14.001,0
0.125,0.0,0,51.0,1.5,44.5,0,0.0,0,0.051,0.383,15.859,0
0.129,0.0,0,50.0,1.5,43.0,0,0.0,0,0.05,0.378,17.12,0
0.133,0.0,0,49.0,1.0,42.0,0,0.0,0,0.05,0.383,17.463,0
0.137,0.0,0,46.5,0.5,40.5,0,0.0,0,0.05,0.38,17.576,0
